Jahr,KW,Datum,SKU,POS_ID,Warengruppe,Preis,EK,VK_UVP,Verkäufe,Lagerbestand,Deckungsbeitrag,RW,Kalenderwoche,Monat,Saison
2024,1,2024-01-01,TSHIRT020,POS001,T-Shirts,29.92,18.74,31.62,3,8,33.54,2.0,44,October,Winter
2024,1,2024-01-01,TSHIRT021,POS001,T-Shirts,28.79,16.03,28.97,10,17,127.6,1.55,30,July,Winter
2024,1,2024-01-01,TSHIRT022,POS001,T-Shirts,24.04,13.04,25.01,3,25,33.0,6.25,38,September,Herbst
2024,1,2024-01-01,TSHIRT023,POS001,T-Shirts,28.21,17.72,29.19,18,33,188.82,1.74,2,January,Winter
2024,1,2024-01-01,TSHIRT024,POS001,T-Shirts,15.65,11.88,18.81,18,31,67.86,1.63,21,May,Winter
2024,1,2024-01-01,TSHIRT025,POS001,T-Shirts,22.3,12.6,22.38,23,42,223.1,1.75,33,August,Sommer
2024,1,2024-01-01,TSHIRT026,POS001,T-Shirts,26.93,18.76,30.88,1,7,8.17,3.5,12,March,Winter
2024,1,2024-01-01,TSHIRT027,POS001,T-Shirts,20.4,11.15,21.35,14,43,129.5,2.87,22,May,Winter
2024,1,2024-01-01,TSHIRT028,POS001,T-Shirts,24.39,16.68,28.83,8,45,61.68,5.0,44,October,Winter
2024,1,2024-01-01,TSHIRT029,POS001,T-Shirts,22.29,15.07,26.16,10,16,72.2,1.45,25,June,Winter
2024,1,2024-01-01,TSHIRT030,POS001,T-Shirts,19.76,15.32,28.05,8,18,35.52,2.0,49,December,Winter
2024,1,2024-01-01,TSHIRT031,POS001,T-Shirts,30.48,19.68,36.83,21,37,226.8,1.68,27,June,Winter
2024,1,2024-01-01,TSHIRT032,POS001,T-Shirts,22.44,13.98,26.19,20,60,169.2,2.86,42,October,Winter
2024,1,2024-01-01,TSHIRT033,POS001,T-Shirts,15.65,10.36,19.08,6,6,31.74,0.86,28,July,Winter
2024,1,2024-01-01,TSHIRT034,POS001,T-Shirts,34.32,20.0,36.38,20,35,286.4,1.67,16,April,Frühjahr
2024,1,2024-01-01,TSHIRT035,POS001,T-Shirts,31.57,19.23,35.81,11,26,135.74,2.17,15,April,Frühjahr
2024,1,2024-01-01,TSHIRT036,POS001,T-Shirts,20.04,12.44,22.92,1,32,7.6,16.0,47,November,Herbst
2024,1,2024-01-01,TSHIRT037,POS001,T-Shirts,24.58,17.3,32.25,25,58,182.0,2.23,44,October,Winter
2024,1,2024-01-01,TSHIRT038,POS001,T-Shirts,30.15,16.4,31.9,21,36,288.75,1.64,3,January,Winter
2024,1,2024-01-01,TSHIRT039,POS001,T-Shirts,27.03,16.42,27.83,18,22,190.98,1.16,37,September,Herbst
2024,1,2024-01-01,TSHIRT040,POS001,T-Shirts,23.49,14.55,23.76,17,28,151.98,1.56,7,February,Winter
2024,1,2024-01-01,TSHIRT041,POS001,T-Shirts,30.59,19.29,34.62,16,55,180.8,3.24,21,May,Winter
2024,1,2024-01-01,TSHIRT042,POS001,T-Shirts,26.05,16.7,26.87,22,35,205.7,1.52,9,February,Winter
2024,1,2024-01-01,TSHIRT043,POS001,T-Shirts,29.02,15.68,29.42,2,2,26.68,0.67,39,September,Herbst
2024,1,2024-01-01,TSHIRT044,POS001,T-Shirts,14.15,10.04,16.11,22,55,90.42,2.39,18,April,Frühjahr
2024,1,2024-01-01,TSHIRT045,POS001,T-Shirts,22.25,15.32,23.99,24,50,166.32,2.0,4,January,Winter
2024,1,2024-01-01,TSHIRT046,POS001,T-Shirts,21.07,16.01,24.89,23,27,116.38,1.12,25,June,Winter
2024,1,2024-01-01,TSHIRT047,POS001,T-Shirts,12.82,10.28,18.29,1,15,2.54,7.5,14,March,Winter
2024,1,2024-01-01,TSHIRT048,POS001,T-Shirts,24.51,18.57,34.35,4,23,23.76,4.6,50,December,Winter
2024,1,2024-01-01,TSHIRT049,POS001,T-Shirts,22.78,18.37,29.77,4,30,17.64,6.0,9,February,Winter
2024,1,2024-01-01,TSHIRT050,POS001,T-Shirts,21.44,14.47,23.65,18,34,125.46,1.79,26,June,Winter
2024,1,2024-01-01,TSHIRT051,POS001,T-Shirts,16.46,11.63,19.55,8,46,38.64,5.11,2,January,Winter
2024,1,2024-01-01,TSHIRT052,POS001,T-Shirts,23.57,18.19,32.51,5,37,26.9,6.17,20,May,Winter
2024,1,2024-01-01,TSHIRT053,POS001,T-Shirts,20.06,12.33,21.91,9,32,69.57,3.2,28,July,Winter
2024,1,2024-01-01,TSHIRT054,POS001,T-Shirts,20.39,11.85,21.22,20,39,170.8,1.86,47,November,Herbst
2024,1,2024-01-01,TSHIRT055,POS001,T-Shirts,19.92,12.95,21.31,0,18,0.0,18.0,7,February,Winter
2024,1,2024-01-01,TSHIRT056,POS001,T-Shirts,25.93,16.21,28.14,1,30,9.72,15.0,44,October,Winter
2024,1,2024-01-01,TSHIRT057,POS001,T-Shirts,19.18,11.82,22.97,20,23,147.2,1.1,8,February,Winter
2024,1,2024-01-01,TSHIRT058,POS001,T-Shirts,21.51,15.03,23.9,23,49,149.04,2.04,47,November,Herbst
2024,1,2024-01-01,TSHIRT059,POS001,T-Shirts,20.22,12.76,22.14,10,23,74.6,2.09,35,August,Sommer
2024,1,2024-01-01,TSHIRT060,POS001,T-Shirts,20.48,13.48,21.47,16,16,112.0,0.94,14,March,Winter
2024,1,2024-01-01,TSHIRT061,POS001,T-Shirts,24.86,17.19,26.5,25,47,191.75,1.81,17,April,Frühjahr
2024,1,2024-01-01,TSHIRT062,POS001,T-Shirts,23.73,16.78,29.44,6,45,41.7,6.43,36,September,Herbst
2024,1,2024-01-01,TSHIRT063,POS001,T-Shirts,24.31,15.57,26.61,22,24,192.28,1.04,50,December,Winter
2024,1,2024-01-01,TSHIRT064,POS001,T-Shirts,23.66,17.54,29.73,9,35,55.08,3.5,40,September,Herbst
2024,1,2024-01-01,TSHIRT065,POS001,T-Shirts,24.27,16.17,28.22,21,39,170.1,1.77,4,January,Winter
2024,1,2024-01-01,TSHIRT066,POS001,T-Shirts,22.4,19.03,28.71,19,37,64.03,1.85,2,January,Winter
2024,1,2024-01-01,TSHIRT067,POS001,T-Shirts,25.88,16.7,29.47,21,41,192.78,1.86,6,February,Winter
2024,1,2024-01-01,TSHIRT068,POS001,T-Shirts,18.58,11.89,22.89,14,53,93.66,3.53,42,October,Winter
2024,1,2024-01-01,TSHIRT069,POS001,T-Shirts,19.26,10.49,20.58,10,41,87.7,3.73,4,January,Winter
2024,1,2024-01-01,TSHIRT070,POS001,T-Shirts,13.61,10.68,18.76,13,43,38.09,3.07,29,July,Winter
2024,1,2024-01-01,TSHIRT071,POS001,T-Shirts,25.85,19.67,31.28,0,27,0.0,27.0,18,April,Frühjahr
2024,1,2024-01-01,TSHIRT072,POS001,T-Shirts,21.14,13.64,25.28,10,21,75.0,1.91,26,June,Winter
2024,1,2024-01-01,TSHIRT073,POS001,T-Shirts,17.58,11.39,22.0,15,52,92.85,3.25,44,October,Winter
2024,1,2024-01-01,TSHIRT074,POS001,T-Shirts,14.32,11.36,17.52,0,25,0.0,25.0,34,August,Sommer
2024,1,2024-01-01,TSHIRT075,POS001,T-Shirts,29.25,19.99,39.25,13,32,120.38,2.29,10,March,Winter
2024,1,2024-01-01,TSHIRT076,POS001,T-Shirts,16.61,12.36,22.45,8,24,34.0,2.67,36,September,Herbst
2024,1,2024-01-01,TSHIRT077,POS001,T-Shirts,19.92,10.5,20.0,23,52,216.66,2.17,14,March,Winter
2024,1,2024-01-01,TSHIRT078,POS001,T-Shirts,30.43,18.99,34.56,3,17,34.32,4.25,31,July,Winter
2024,1,2024-01-01,TSHIRT079,POS001,T-Shirts,19.46,15.57,26.47,25,65,97.25,2.5,48,November,Herbst
2024,1,2024-01-01,TSHIRT080,POS001,T-Shirts,22.43,16.32,26.57,15,21,91.65,1.31,15,April,Frühjahr
2024,1,2024-01-01,TSHIRT081,POS001,T-Shirts,21.41,13.86,24.1,23,33,173.65,1.38,8,February,Winter
2024,1,2024-01-01,TSHIRT082,POS001,T-Shirts,19.81,13.33,26.4,20,33,129.6,1.57,14,March,Winter
2024,1,2024-01-01,TSHIRT083,POS001,T-Shirts,26.4,19.05,37.58,12,36,88.2,2.77,23,June,Winter
2024,1,2024-01-01,TSHIRT084,POS001,T-Shirts,20.81,12.74,23.49,22,40,177.54,1.74,40,September,Herbst
2024,1,2024-01-01,TSHIRT085,POS001,T-Shirts,32.03,18.45,33.45,4,22,54.32,4.4,21,May,Winter
2024,1,2024-01-01,TSHIRT086,POS001,T-Shirts,18.33,12.91,22.35,14,22,75.88,1.47,16,April,Frühjahr
2024,1,2024-01-01,TSHIRT087,POS001,T-Shirts,24.98,13.32,25.96,3,3,34.98,0.75,45,November,Herbst
2024,1,2024-01-01,TSHIRT088,POS001,T-Shirts,23.35,16.38,25.77,7,15,48.79,1.88,18,April,Frühjahr
2024,1,2024-01-01,TSHIRT089,POS001,T-Shirts,21.83,16.07,25.9,20,20,115.2,0.95,47,November,Herbst
2024,1,2024-01-01,TSHIRT090,POS001,T-Shirts,18.21,10.4,19.46,5,18,39.05,3.0,24,June,Winter
2024,1,2024-01-01,TSHIRT091,POS001,T-Shirts,25.32,19.96,35.33,15,40,80.4,2.5,26,June,Winter
2024,1,2024-01-01,TSHIRT092,POS001,T-Shirts,16.17,10.66,21.09,6,46,33.06,6.57,25,June,Winter
2024,1,2024-01-01,TSHIRT093,POS001,T-Shirts,24.57,13.24,24.63,4,38,45.32,7.6,45,November,Herbst
2024,1,2024-01-01,TSHIRT094,POS001,T-Shirts,18.59,15.83,25.44,1,30,2.76,15.0,41,October,Winter
2024,1,2024-01-01,TSHIRT095,POS001,T-Shirts,18.94,11.84,19.25,11,21,78.1,1.75,29,July,Winter
2024,1,2024-01-01,TSHIRT096,POS001,T-Shirts,17.97,13.12,24.55,7,32,33.95,4.0,15,April,Frühjahr
2024,1,2024-01-01,TSHIRT097,POS001,T-Shirts,22.96,14.81,24.88,6,7,48.9,1.0,45,November,Herbst
2024,1,2024-01-01,TSHIRT098,POS001,T-Shirts,19.32,12.25,22.45,4,20,28.28,4.0,1,December,Winter
2024,1,2024-01-01,TSHIRT099,POS001,T-Shirts,21.28,13.48,26.06,22,54,171.6,2.35,25,June,Winter
2024,1,2024-01-01,TSHIRT100,POS001,T-Shirts,28.41,19.63,38.08,4,16,35.12,3.2,7,February,Winter
2024,2,2024-01-08,TSHIRT001,POS001,T-Shirts,23.74,18.11,31.16,8,21,45.04,2.33,9,February,Winter
2024,2,2024-01-08,TSHIRT002,POS001,T-Shirts,19.9,15.73,25.44,17,56,70.89,3.11,24,June,Winter
2024,2,2024-01-08,TSHIRT003,POS001,T-Shirts,23.13,17.69,31.5,24,48,130.56,1.92,1,December,Winter
2024,2,2024-01-08,TSHIRT004,POS001,T-Shirts,27.29,18.94,29.39,1,36,8.35,18.0,44,October,Winter
2024,2,2024-01-08,TSHIRT005,POS001,T-Shirts,27.53,18.45,31.7,22,26,199.76,1.13,8,February,Winter
2024,2,2024-01-08,TSHIRT006,POS001,T-Shirts,13.69,10.09,17.51,11,43,39.6,3.58,24,June,Winter
2024,2,2024-01-08,TSHIRT007,POS001,T-Shirts,26.29,17.19,34.09,0,33,0.0,33.0,11,March,Winter
2024,2,2024-01-08,TSHIRT008,POS001,T-Shirts,27.78,19.67,33.81,1,20,8.11,10.0,17,April,Frühjahr
2024,2,2024-01-08,TSHIRT009,POS001,T-Shirts,22.91,17.08,31.05,21,47,122.43,2.14,8,February,Winter
2024,2,2024-01-08,TSHIRT010,POS001,T-Shirts,20.67,11.92,22.69,9,26,78.75,2.6,35,August,Sommer
2024,2,2024-01-08,TSHIRT011,POS001,T-Shirts,29.86,18.27,31.62,18,20,208.62,1.05,35,August,Sommer
2024,2,2024-01-08,TSHIRT012,POS001,T-Shirts,34.5,19.34,35.72,13,19,197.08,1.36,33,August,Sommer
2024,2,2024-01-08,TSHIRT013,POS001,T-Shirts,14.19,11.25,19.2,12,17,35.28,1.31,5,January,Winter
2024,2,2024-01-08,TSHIRT014,POS001,T-Shirts,24.46,16.85,27.26,13,15,98.93,1.07,42,October,Winter
2024,2,2024-01-08,TSHIRT015,POS001,T-Shirts,27.57,15.98,29.78,9,47,104.31,4.7,39,September,Herbst
2024,2,2024-01-08,TSHIRT016,POS001,T-Shirts,19.09,12.73,22.43,22,57,139.92,2.48,41,October,Winter
2024,2,2024-01-08,TSHIRT017,POS001,T-Shirts,14.29,11.23,20.01,5,45,15.3,7.5,28,July,Winter
2024,2,2024-01-08,TSHIRT018,POS001,T-Shirts,24.92,19.81,34.25,8,21,40.88,2.33,7,February,Winter
2024,2,2024-01-08,TSHIRT019,POS001,T-Shirts,14.31,11.56,19.14,8,38,22.0,4.22,9,February,Winter
2024,2,2024-01-08,TSHIRT020,POS001,T-Shirts,20.01,12.92,20.74,4,13,28.36,2.6,8,February,Winter
2024,2,2024-01-08,TSHIRT021,POS001,T-Shirts,36.58,19.91,37.16,2,39,33.34,13.0,12,March,Winter
2024,2,2024-01-08,TSHIRT022,POS001,T-Shirts,16.66,12.25,21.19,16,32,70.56,1.88,34,August,Sommer
2024,2,2024-01-08,TSHIRT023,POS001,T-Shirts,18.05,12.95,21.44,16,34,81.6,2.0,33,August,Sommer
2024,2,2024-01-08,TSHIRT024,POS001,T-Shirts,17.87,12.0,22.16,14,20,82.18,1.33,48,November,Herbst
2024,2,2024-01-08,TSHIRT025,POS001,T-Shirts,26.53,14.54,28.96,5,13,59.95,2.17,23,June,Winter
2024,2,2024-01-08,TSHIRT026,POS001,T-Shirts,24.52,13.62,26.23,21,45,228.9,2.05,24,June,Winter
2024,2,2024-01-08,TSHIRT027,POS001,T-Shirts,23.04,17.12,30.35,5,12,29.6,2.0,37,September,Herbst
2024,2,2024-01-08,TSHIRT028,POS001,T-Shirts,24.32,17.36,29.67,0,34,0.0,34.0,35,August,Sommer
2024,2,2024-01-08,TSHIRT029,POS001,T-Shirts,24.12,16.07,27.91,11,44,88.55,3.67,44,October,Winter
2024,2,2024-01-08,TSHIRT030,POS001,T-Shirts,14.9,12.88,20.39,18,31,36.36,1.63,40,September,Herbst
2024,2,2024-01-08,TSHIRT031,POS001,T-Shirts,21.21,16.39,28.25,10,33,48.2,3.0,22,May,Winter
2024,2,2024-01-08,TSHIRT032,POS001,T-Shirts,17.75,12.49,23.88,20,51,105.2,2.43,27,June,Winter
2024,2,2024-01-08,TSHIRT033,POS001,T-Shirts,24.79,14.39,28.43,14,50,145.6,3.33,35,August,Sommer
2024,2,2024-01-08,TSHIRT034,POS001,T-Shirts,23.46,16.47,27.39,15,21,104.85,1.31,1,December,Winter
2024,2,2024-01-08,TSHIRT035,POS001,T-Shirts,25.44,15.32,28.59,5,11,50.6,1.83,35,August,Sommer
2024,2,2024-01-08,TSHIRT036,POS001,T-Shirts,14.75,10.99,19.63,13,52,48.88,3.71,37,September,Herbst
2024,2,2024-01-08,TSHIRT037,POS001,T-Shirts,33.72,17.89,35.68,25,32,395.75,1.23,47,November,Herbst
2024,2,2024-01-08,TSHIRT038,POS001,T-Shirts,25.43,17.78,30.48,6,6,45.9,0.86,14,March,Winter
2024,2,2024-01-08,TSHIRT039,POS001,T-Shirts,13.57,10.76,19.18,3,15,8.43,3.75,3,January,Winter
2024,2,2024-01-08,TSHIRT040,POS001,T-Shirts,20.67,13.17,22.46,11,48,82.5,4.0,1,December,Winter
2024,2,2024-01-08,TSHIRT041,POS001,T-Shirts,19.71,14.48,25.95,16,56,83.68,3.29,5,January,Winter
2024,2,2024-01-08,TSHIRT042,POS001,T-Shirts,27.6,19.86,31.28,18,47,139.32,2.47,26,June,Winter
2024,2,2024-01-08,TSHIRT043,POS001,T-Shirts,30.24,19.32,30.65,0,10,0.0,10.0,14,March,Winter
2024,2,2024-01-08,TSHIRT044,POS001,T-Shirts,31.07,17.16,33.24,18,39,250.38,2.05,39,September,Herbst
2024,2,2024-01-08,TSHIRT045,POS001,T-Shirts,15.57,10.65,19.96,7,35,34.44,4.38,27,June,Winter
2024,2,2024-01-08,TSHIRT046,POS001,T-Shirts,16.2,10.85,18.65,22,57,117.7,2.48,9,February,Winter
2024,2,2024-01-08,TSHIRT047,POS001,T-Shirts,28.53,19.58,29.8,8,30,71.6,3.33,15,April,Frühjahr
2024,2,2024-01-08,TSHIRT048,POS001,T-Shirts,15.38,12.64,19.22,18,23,49.32,1.21,15,April,Frühjahr
2024,2,2024-01-08,TSHIRT049,POS001,T-Shirts,23.18,17.08,28.48,8,34,48.8,3.78,26,June,Winter
2024,2,2024-01-08,TSHIRT050,POS001,T-Shirts,12.74,10.91,17.2,6,14,10.98,2.0,42,October,Winter
2024,2,2024-01-08,TSHIRT051,POS001,T-Shirts,24.35,13.74,24.56,22,36,233.42,1.57,13,March,Winter
2024,2,2024-01-08,TSHIRT052,POS001,T-Shirts,23.68,17.46,28.04,20,39,124.4,1.86,32,August,Sommer
2024,2,2024-01-08,TSHIRT053,POS001,T-Shirts,28.99,17.52,30.47,11,41,126.17,3.42,39,September,Herbst
2024,2,2024-01-08,TSHIRT054,POS001,T-Shirts,20.62,13.05,23.42,10,41,75.7,3.73,49,December,Winter
2024,2,2024-01-08,TSHIRT055,POS001,T-Shirts,20.66,11.01,21.48,1,39,9.65,19.5,32,August,Sommer
2024,2,2024-01-08,TSHIRT056,POS001,T-Shirts,20.77,14.57,27.38,5,29,31.0,4.83,4,January,Winter
2024,2,2024-01-08,TSHIRT057,POS001,T-Shirts,19.39,11.14,20.26,3,37,24.75,9.25,30,July,Winter
2024,2,2024-01-08,TSHIRT058,POS001,T-Shirts,24.92,17.1,27.25,7,16,54.74,2.0,37,September,Herbst
2024,2,2024-01-08,TSHIRT059,POS001,T-Shirts,21.99,17.57,29.57,4,32,17.68,6.4,23,June,Winter
2024,2,2024-01-08,TSHIRT060,POS001,T-Shirts,18.38,11.41,19.03,23,48,160.31,2.0,39,September,Herbst
2024,2,2024-01-08,TSHIRT061,POS001,T-Shirts,18.95,13.78,26.87,13,35,67.21,2.5,45,November,Herbst
2024,2,2024-01-08,TSHIRT062,POS001,T-Shirts,14.3,10.44,16.16,3,20,11.58,5.0,15,April,Frühjahr
2024,2,2024-01-08,TSHIRT063,POS001,T-Shirts,24.83,14.97,29.88,12,28,118.32,2.15,43,October,Winter
2024,2,2024-01-08,TSHIRT064,POS001,T-Shirts,20.64,14.92,25.44,7,30,40.04,3.75,29,July,Winter
2024,2,2024-01-08,TSHIRT065,POS001,T-Shirts,23.06,16.89,31.75,24,57,148.08,2.28,36,September,Herbst
2024,2,2024-01-08,TSHIRT066,POS001,T-Shirts,23.29,16.93,27.02,24,53,152.64,2.12,13,March,Winter
2024,2,2024-01-08,TSHIRT067,POS001,T-Shirts,23.29,16.23,31.0,7,22,49.42,2.75,32,August,Sommer
2024,2,2024-01-08,TSHIRT068,POS001,T-Shirts,17.77,12.05,21.0,13,32,74.36,2.29,7,February,Winter
2024,2,2024-01-08,TSHIRT069,POS001,T-Shirts,27.31,17.9,29.67,25,26,235.25,1.0,22,May,Winter
2024,2,2024-01-08,TSHIRT070,POS001,T-Shirts,21.58,11.92,21.88,21,40,202.86,1.82,28,July,Winter
2024,2,2024-01-08,TSHIRT071,POS001,T-Shirts,15.99,11.78,20.52,21,25,88.41,1.14,2,January,Winter
2024,2,2024-01-08,TSHIRT072,POS001,T-Shirts,30.92,16.58,33.12,10,45,143.4,4.09,42,October,Winter
2024,2,2024-01-08,TSHIRT073,POS001,T-Shirts,19.63,14.64,23.19,9,17,44.91,1.7,45,November,Herbst
2024,2,2024-01-08,TSHIRT074,POS001,T-Shirts,18.61,14.74,22.64,21,54,81.27,2.45,6,February,Winter
2024,2,2024-01-08,TSHIRT075,POS001,T-Shirts,24.47,17.02,29.05,16,25,119.2,1.47,28,July,Winter
2024,2,2024-01-08,TSHIRT076,POS001,T-Shirts,29.04,19.49,32.18,13,30,124.15,2.14,28,July,Winter
2024,2,2024-01-08,TSHIRT077,POS001,T-Shirts,16.02,11.11,20.04,6,28,29.46,4.0,44,October,Winter
2024,2,2024-01-08,TSHIRT078,POS001,T-Shirts,14.84,11.48,19.3,12,38,40.32,2.92,44,October,Winter
2024,2,2024-01-08,TSHIRT079,POS001,T-Shirts,27.28,19.39,36.43,12,37,94.68,2.85,20,May,Winter
2024,2,2024-01-08,TSHIRT080,POS001,T-Shirts,20.54,13.49,22.39,16,47,112.8,2.76,30,July,Winter
2024,2,2024-01-08,TSHIRT081,POS001,T-Shirts,17.39,13.43,20.89,20,27,79.2,1.29,11,March,Winter
2024,2,2024-01-08,TSHIRT082,POS001,T-Shirts,31.8,17.24,32.17,21,49,305.76,2.23,28,July,Winter
2024,2,2024-01-08,TSHIRT083,POS001,T-Shirts,21.31,13.63,21.64,8,18,61.44,2.0,25,June,Winter
2024,2,2024-01-08,TSHIRT084,POS001,T-Shirts,23.44,12.65,24.13,0,20,0.0,20.0,39,September,Herbst
2024,2,2024-01-08,TSHIRT085,POS001,T-Shirts,23.08,19.22,29.58,14,38,54.04,2.53,33,August,Sommer
2024,2,2024-01-08,TSHIRT086,POS001,T-Shirts,29.05,19.65,32.01,19,50,178.6,2.5,1,December,Winter
2024,2,2024-01-08,TSHIRT087,POS001,T-Shirts,21.41,11.91,22.71,25,44,237.5,1.69,27,June,Winter
2024,2,2024-01-08,TSHIRT088,POS001,T-Shirts,26.71,18.54,29.94,23,26,187.91,1.08,13,March,Winter
2024,2,2024-01-08,TSHIRT089,POS001,T-Shirts,20.98,18.59,28.3,4,36,9.56,7.2,41,October,Winter
2024,2,2024-01-08,TSHIRT090,POS001,T-Shirts,17.63,12.5,24.24,13,20,66.69,1.43,3,January,Winter
2024,2,2024-01-08,TSHIRT091,POS001,T-Shirts,32.32,17.62,34.09,4,25,58.8,5.0,39,September,Herbst
2024,2,2024-01-08,TSHIRT092,POS001,T-Shirts,20.72,13.52,21.16,25,26,180.0,1.0,6,February,Winter
2024,2,2024-01-08,TSHIRT093,POS001,T-Shirts,25.9,16.26,27.31,15,53,144.6,3.31,8,February,Winter
2024,2,2024-01-08,TSHIRT094,POS001,T-Shirts,24.38,17.94,27.9,11,17,70.84,1.42,27,June,Winter
2024,2,2024-01-08,TSHIRT095,POS001,T-Shirts,18.18,12.78,22.45,1,16,5.4,8.0,9,February,Winter
2024,2,2024-01-08,TSHIRT096,POS001,T-Shirts,27.92,14.22,28.4,2,15,27.4,5.0,37,September,Herbst
2024,2,2024-01-08,TSHIRT097,POS001,T-Shirts,23.49,16.85,27.67,1,33,6.64,16.5,33,August,Sommer
2024,2,2024-01-08,TSHIRT098,POS001,T-Shirts,23.0,18.3,29.97,23,54,108.1,2.25,42,October,Winter
2024,2,2024-01-08,TSHIRT099,POS001,T-Shirts,22.41,18.23,29.57,3,5,12.54,1.25,44,October,Winter
2024,2,2024-01-08,TSHIRT100,POS001,T-Shirts,29.68,18.23,30.78,14,54,160.3,3.6,24,June,Winter
2024,3,2024-01-15,TSHIRT001,POS001,T-Shirts,21.72,14.05,25.28,11,51,84.37,4.25,15,April,Frühjahr
2024,3,2024-01-15,TSHIRT002,POS001,T-Shirts,11.34,10.62,15.95,13,23,9.36,1.64,32,August,Sommer
2024,3,2024-01-15,TSHIRT003,POS001,T-Shirts,24.28,19.35,31.65,21,38,103.53,1.73,32,August,Sommer
2024,3,2024-01-15,TSHIRT004,POS001,T-Shirts,24.14,16.93,29.93,12,14,86.52,1.08,24,June,Winter
2024,3,2024-01-15,TSHIRT005,POS001,T-Shirts,13.26,10.28,18.33,0,31,0.0,31.0,41,October,Winter
2024,3,2024-01-15,TSHIRT006,POS001,T-Shirts,17.18,14.54,23.57,15,22,39.6,1.38,49,December,Winter
2024,3,2024-01-15,TSHIRT007,POS001,T-Shirts,25.51,19.53,31.51,21,55,125.58,2.5,49,December,Winter
2024,3,2024-01-15,TSHIRT008,POS001,T-Shirts,29.38,19.32,30.49,15,17,150.9,1.06,12,March,Winter
2024,3,2024-01-15,TSHIRT009,POS001,T-Shirts,29.78,18.98,32.16,12,38,129.6,2.92,39,September,Herbst
2024,3,2024-01-15,TSHIRT010,POS001,T-Shirts,19.19,10.22,19.98,10,36,89.7,3.27,2,January,Winter
2024,3,2024-01-15,TSHIRT011,POS001,T-Shirts,15.48,12.98,21.36,23,53,57.5,2.21,3,January,Winter
2024,3,2024-01-15,TSHIRT012,POS001,T-Shirts,28.45,19.79,32.61,16,54,138.56,3.18,49,December,Winter
2024,3,2024-01-15,TSHIRT013,POS001,T-Shirts,13.3,10.09,18.1,25,36,80.25,1.38,37,September,Herbst
2024,3,2024-01-15,TSHIRT014,POS001,T-Shirts,34.16,18.69,34.95,17,31,262.99,1.72,49,December,Winter
2024,3,2024-01-15,TSHIRT015,POS001,T-Shirts,16.52,12.89,20.3,15,21,54.45,1.31,17,April,Frühjahr
2024,3,2024-01-15,TSHIRT016,POS001,T-Shirts,31.78,17.81,34.56,19,26,265.43,1.3,49,December,Winter
2024,3,2024-01-15,TSHIRT017,POS001,T-Shirts,23.64,19.2,31.92,20,20,88.8,0.95,2,January,Winter
